player,surface,period,spw,rpw,matches
Clara Tauson,clay,career,0.5550,0.4390,40
Clara Tauson,grass,career,0.6000,0.3770,20
Clara Tauson,all,career,0.5902,0.4258,198
Leylah Fernandez,hard,52week,0.6080,0.4160,37
Leylah Fernandez,clay,52week,0.5890,0.4340,14
Leylah Fernandez,grass,52week,0.5770,0.3830,7
Leylah Fernandez,all,52week,0.5997,0.4164,58
Leylah Fernandez,hard,career,0.5910,0.4230,199
Leylah Fernandez,clay,career,0.5650,0.4400,59
Leylah Fernandez,grass,career,0.6030,0.4220,30
Leylah Fernandez,all,career,0.5869,0.4264,288
Peyton Stearns,hard,52week,0.5830,0.4220,25
Peyton Stearns,clay,52week,0.5870,0.4290,11
Peyton Stearns,grass,52week,0.5440,0.3650,2
Peyton Stearns,all,52week,0.5821,0.4210,38
Peyton Stearns,hard,career,0.5630,0.4320,88
Peyton Stearns,clay,career,0.5600,0.4640,45
Peyton Stearns,grass,career,0.5690,0.3740,8
