player,surface,period,spw,rpw,matches
Fabian Marozsan,hard,52week,0.6460,0.3550,27
Fabian Marozsan,clay,52week,0.6410,0.3480,12
Fabian Marozsan,grass,52week,0.6470,0.3160,9
Fabian Marozsan,all,52week,0.6449,0.3459,48
Fabian Marozsan,hard,career,0.6370,0.3650,95
Fabian Marozsan,clay,career,0.6350,0.3680,43
Fabian Marozsan,grass,career,0.6340,0.3150,20
Fabian Marozsan,all,career,0.6361,0.3595,158
Alejandro Tabilo,hard,52week,0.6730,0.3160,26
Alejandro Tabilo,clay,52week,0.6690,0.3730,27
Alejandro Tabilo,grass,52week,0.5740,0.2760,3
Alejandro Tabilo,all,52week,0.6658,0.3413,56
Alejandro Tabilo,hard,career,0.6500,0.3440,86
Alejandro Tabilo,clay,career,0.6270,0.3850,81
Alejandro Tabilo,grass,career,0.6550,0.3110,17
Alejandro Tabilo,all,career,0.6403,0.3590,184
Sebastian Korda,hard,52week,0.6770,0.3710,42
Sebastian Korda,clay,52week,0.6540,0.3620,10
Sebastian Korda,all,52week,0.6726,0.3693,52
Sebastian Korda,hard,career,0.6560,0.3730,189
Sebastian Korda,clay,career,0.6190,0.3900,52
Sebastian Korda,grass,career,0.6700,0.3680,25
Sebastian Korda,all,career,0.6501,0.3759,266
Alex Molcan,clay,52week,0.6410,0.4040,14
Alex Molcan,grass,52week,0.6460,0.3670,3
Alex Molcan,all,52week,0.6419,0.3975,17
Alex Molcan,hard,career,0.6120,0.3550,42
Alex Molcan,clay,career,0.6140,0.4050,63
Alex Molcan,grass,career,0.6420,0.3450,10
Alex Molcan,all,career,0.6157,0.3815,115
Toby Samuel,grass,52week,0.6260,0.3700,5
Toby Samuel,all,52week,0.6260,0.3700,5
Quentin Halys,hard,52week,0.6500,0.3420,25
Quentin Halys,clay,52week,0.7370,0.3220,12
Quentin Halys,grass,52week,0.6360,0.3580,5
Quentin Halys,all,52week,0.6732,0.3382,42
Quentin Halys,hard,career,0.6470,0.3290,102
Quentin Halys,clay,career,0.6710,0.3270,42
Quentin Halys,grass,career,0.6900,0.3290,22
Quentin Halys,all,career,0.6588,0.3285,166
Michael Zheng,hard,52week,0.5770,0.3570,7
Michael Zheng,grass,52week,0.6680,0.3390,3
Michael Zheng,all,52week,0.6043,0.3516,10
Michael Zheng,hard,career,0.5770,0.3570,7
Michael Zheng,grass,career,0.6680,0.3390,3
Michael Zheng,all,career,0.6043,0.3516,10
Tallon Griekspoor,hard,52week,0.6740,0.2970,29
Tallon Griekspoor,clay,52week,0.6020,0.3380,7
Tallon Griekspoor,grass,52week,0.6490,0.3130,4
Tallon Griekspoor,all,52week,0.6589,0.3058,40
Tallon Griekspoor,hard,career,0.6670,0.3150,170
Tallon Griekspoor,clay,career,0.6420,0.3590,63
Tallon Griekspoor,grass,career,0.6680,0.3140,36
Tallon Griekspoor,all,career,0.6613,0.3252,269
Arthur Rinderknech,hard,52week,0.6660,0.3120,35
Arthur Rinderknech,clay,52week,0.6800,0.3600,19
Arthur Rinderknech,grass,52week,0.7410,0.3050,5
Arthur Rinderknech,all,52week,0.6769,0.3269,59
Arthur Rinderknech,hard,career,0.6590,0.3220,143
Arthur Rinderknech,clay,career,0.6550,0.3480,68
Arthur Rinderknech,grass,career,0.6810,0.3110,34
Arthur Rinderknech,all,career,0.6609,0.3277,245
Jordan Thompson,hard,52week,0.6480,0.3330,14
Jordan Thompson,clay,52week,0.6290,0.3500,6
Jordan Thompson,grass,52week,0.6660,0.3310,7
Jordan Thompson,all,52week,0.6484,0.3363,27
Jordan Thompson,hard,career,0.6380,0.3590,216
Jordan Thompson,clay,career,0.6020,0.3500,50
Jordan Thompson,grass,career,0.6580,0.3460,67
